Coldproof,Integrated GPS,Maximum Aperture,3D Capture,Instant Print,Minimum Flash Range - Wide,Batteries,Remote Compatible,Memory Card Included,Panorama Mode,pricematch,Total Megapixels,Software Included,Touchscreen,Image Storage Capacity,External Flash Mount,Number Of Batteries Required,Shockproof,Scene Modes,File Formats,Output(s),Image Sensor Type,Autofocus,Image Stabilization,Number Of Images Per Charge,Image Storage Type,NFC Enabled,White Balance,Touch Screen,Wi-Fi Ready,HD Movie Mode,Imaging Sensor Vertical Size,Digital Magnification,Focus Range,Image Resolution,Camera Dock,Image Stitching,DND Omega Publish,Maximum Expandable ISO,Face Detection,Imaging Sensor Size,Minimum Flash Range - Telephoto,Long Zoom,Imaging Sensor Type,ISO Settings,Tripod/Monopod Socket Size,Minimum Aperture,Cold Resistant,Shock Resistant,Varying Angle LCD,Maximum Operating Temperature,Flash Range,Number Of Memory Card Slots,Lens Features,Maximum Flash Range - Wide,Digital Zoom,Digital Camera Type,Minimum ISO,Integrated Flash,Color Category,Interface,LCD Screen Size,Maximum Flash Range - Telephoto,Additional Accessories Included,Lens Focal Length(s),Tripod Mount,Frame Rate,Internal Memory,Video Outputs,Waterproof,Brightness Control,Megapixels (Effective),Frames Per Second,Camera Full Frame Sensor,WiFi enabled,Filter Diameter,Low Light/High Sensitivity,Viewfinder Magnification,AC Adapter Compatible,Exposure Control,Tripod/Monopod Mountable,Self Timer,Wi-Fi Built-in,Memory Card Compatibility,Burst Mode,Shutter Speeds,AC Adapter,AC Adapter Included,Audio,Compatible Memory Formats,LCD Screen Features,Smile Mode,Viewfinder,HD Movie Mode Focus,Records Audio,Maximum ISO,Integrated Projector,Internal Memory Included,Computer Connectivity,Lens Mount Compatibility,ISO Equivalent,Megapixels (Total),Low-Light/High Sensitivity,Maximum Focal Length,Imaging Sensor Horizontal Size,Removable Memory Included,Minimum Focal Length,Aperture Range,Display Type,Lens,Max ISO,White Balance Modes,Camera Body Style,Water Resistant,Effective Megapixels,Batteries Included,Vista Compatible,Text Overlay,Movie Mode,Shooting Modes,Screen Resolution,PictBridge Enabled,Optical Zoom,Self-Timer,Lens Focal Length 35mm Film Equivalent,Flash Modes,Minimum Operating Temperature,Screen Size,Varying Angle Screen,Time Lapse,Orientation Sensor,In-Lens Image Stabilization,Image File Format(s),High Definition,Movie Recording Mode,Maximum Height of Shock Resistance
N/A,No,N/A,N/A,No,N/A,N/A,N/A,No,N/A,N/A,24.7 megapixels,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,CMOS,Yes,Optical,N/A,N/A,No,N/A,Yes,N/A,N/A,N/A,N/A,N/A,6000 x 4000,N/A,N/A,N/A,25600,N/A,N/A,N/A,N/A,N/A,"Auto, 100-12,800 (expandable to 25,600)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None,DSLR Camera Body Only,100,No,Black,N/A,N/A,N/A,"Battery (LP-E17), battery cover, battery charger (LC-E17), interface cable (IFC-130U), eyecup (EF), wide strap (EW-100DBV)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes,Secure Digital|Secure Digital High Capacity (SDHC)|Secure Digital Extended Capacity (SDXC),N/A,1/4000 - 30 sec.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12800,No,No,N/A,Canon EF-S|Canon EF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,LCD touch screen,N/A,N/A,N/A,N/A,No,24.2 megapixels,Yes,N/A,N/A,N/A,"Kids, food, candlelight, night portrait, handheld night scene, HDR backlight control",N/A,Yes,N/A,N/A,N/A,N/A,N/A,3 inches,N/A,N/A,N/A,N/A,JPEG|RAW,No,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,yes,N/A,Nikon ViewNX 2 CD-ROM,No,Varies,N/A,N/A,N/A,N/A,"Still: JPEG, NEF (RAW), NEF (RAW)+JPEG; Video: MOV (Image data: H.264/MPEG-4 advanced video coding, Audio: Linear PCM)",N/A,N/A,N/A,N/A,N/A,Secure Digital (SD)/Secure Digital High Capacity (SDHC)/Secure Digital Expanded Capacity (SDXC),N/A,"auto, incandescent, fluorescent (7 types), direct sunlight, flash, cloudy, shade, preset manual",N/A,Yes,Yes,N/A,N/A,N/A,"Up to 6,000 x 4,000",N/A,N/A,N/A,N/A,Yes,23.5mm x 15.6mm,N/A,N/A,CMOS,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Gray,High-speed USB,"3.2""",N/A,N/A,N/A,N/A,N/A,N/A,Type C mini HDMI,N/A,N/A,24.2,5 - 6,N/A,N/A,N/A,N/A,N/A,N/A,"Auto (Auto), Auto Flash off, Aperture-Priority (A), Manual (M), Programmed auto with flexible program (P), Shutter-Priority, (S)Scene Modes",N/A,N/A,N/A,N/A,Yes,1/4000 to 30 sec. in steps of 1/3 or 1/2 EV,Optional,N/A,Built-in or external stereo microphone; sensitivity adjustable,N/A,"Ultra-high-resolution TFT-LCD, 170&#176; angle of view; swivels 180&#176;",N/A,Eye-level pentamirror single-lens reflex with approximately 95% horizontal and vertical frame coverage; 0.82x magnification,Auto Focus,N/A,N/A,N/A,N/A,N/A,N/A,"100 - 12,800 (expandable to 25,600)",24.78,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12801 and higher,N/A,Digital SLR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,Yes,5.6 f/,N/A,No,N/A,N/A,N/A,No,No,yes,24.7 megapixels,Nikon ViewNX 2,N/A,N/A,Other,1,N/A,N/A,N/A,PAL|NTSC,CMOS,Yes,Optical,N/A,N/A,No,N/A,No,N/A,Yes,15.6 millimeters,N/A,Normal,6000 x 4000,N/A,N/A,N/A,25600,Yes,N/A,N/A,N/A,N/A,"100 - 12,800 (expandable to 25,600)",6.4 millimeters,3.5 f/,No,No,N/A,N/A,N/A,1,N/A,N/A,None,DSLR Camera with Lens,100,Yes,Black,N/A,N/A,43 feet,N/A,N/A,N/A,5 frames per second,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,52 millimeters,Yes,N/A,Yes,N/A,Yes,Yes,Yes,Secure Digital Extended Capacity (SDXC)|Secure Digital High Capacity (SDHC)|Secure Digital,Yes,1/4000 - 30 sec. in 1/3 or 1/2 EV steps; bulb,N/A,No,N/A,N/A,N/A,N/A,Optical,N/A,Yes,12801,No,N/A,N/A,Bayonet,N/A,N/A,N/A,55 millimeters,23.5 millimeters,N/A,18 millimeters,N/A,LCD,N/A,N/A,"Auto, incandescent, fluorescent (7 types), direct sunlight, flash, cloudy, shade, preset manual",N/A,No,24.2 megapixels,Yes,N/A,N/A,N/A,"Portrait, landscape, child, sports, close-up, night portrait, night landscape, party/indoor, beach/snow, sunset, pet portrait, candlelight and more",N/A,Yes,3x,N/A,18 - 55mm,Red-eye reduction|Off|Auto|Slow sync,N/A,3.2 inches,N/A,N/A,N/A,N/A,JPEG|MPEG-4|RAW|Other,Yes,Yes,N/A
N/A,No,3.5 f/,No,No,0 feet,N/A,Yes,No,No,N/A,24.72 megapixels,N/A,N/A,N/A,Hot Shoe,1,N/A,"Autumn colors, beach/snow, blossom and more",N/A,USB|HDMI,CMOS,Yes,Optical,N/A,N/A,Yes,N/A,No,N/A,Yes,15.6 millimeters,N/A,Normal|Wide|Telephoto,6000 x 4000,N/A,N/A,N/A,25600,Yes,N/A,0 feet,Yes,N/A,ISO 100 - 25600,N/A,38 f/,No,No,N/A,N/A,N/A,2,N/A,39 feet,None,DSLR Camera with Lens,100,Yes,Black,N/A,N/A,39 feet,"Battery, battery charger, USB cable, body cap",N/A,N/A,6 frames per second,N/A,N/A,N/A,Yes,N/A,N/A,No,N/A,67 millimeters,Yes,0.94 times,Yes,N/A,Built-in,Yes,Yes,Secure Digital|Secure Digital High Capacity (SDHC)|Secure Digital Extended Capacity (SDXC),Yes,"1/8000 - 30 sec. in steps of 1/3 or 1/2 EV bulb, time, X250",N/A,No,N/A,N/A,N/A,No,Optical,N/A,Yes,25600,No,No,Windows|Mac,Nikon F,N/A,N/A,N/A,140 millimeters,23.5 millimeters,N/A,18 millimeters,N/A,LCD,N/A,N/A,"Auto (2 types), incadescent, fluorescent (7 types), direct sunlight, flash, cloudy and more",N/A,No,N/A,Yes,N/A,N/A,N/A,"Auto, auto (flash off), A (aperture priority), M (manual), P (programmed auto with flexible program), S (shutter priority) and more","1,228,800 dots",Yes,N/A,N/A,18-140mm,Auto|Red-eye reduction|Slow sync|Off,N/A,3.2 inches,No,N/A,No,N/A,JPEG|RAW,Yes,Yes,N/A
No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,yes,N/A,Nikon ViewNX 2,No,Varies,Yes,N/A,No,N/A,"JPEG, RAW, DCF (Design Rule for Camera File System) 2.0, DPOF (Digital Print Order Format), Exif (Exchangeable Image File Format for Digital Still Cameras) 2.3, PictBridge, H.264/MPEG-4, MOV, Linear PCM",N/A,N/A,N/A,"Yes, optical",N/A,N/A,N/A,"Auto, incandescent, fluorescent (7 types), direct sunlight, flash, cloudy, shade, preset manual",N/A,Yes,Yes,N/A,N/A,"10.8"" - infinity (with included 18 - 55mm lens); 3.1' - infinity (with included 55 - 200mm lens)",Up to 6016 x 4000,Not included,No,Yes,N/A,Yes,23.2mm x 15.4mm,N/A,N/A,CMOS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"18 - 55mm: 11 elements in 8 groups, 7 diaphragm blades, 1 aspherical element, super integrated coating, Silent Wave Motor; 55 - 200mm: 13 elements in 9 groups, 9 diaphragm blades, 2 ED glass elements, super integrated coating, Silent Wave Motor",N/A,N/A,N/A,N/A,N/A,Black,"USB, HDMI","3""",N/A,N/A,18 - 55mm; 55 - 200mm,Yes,N/A,None,"NTSC, PAL",No,N/A,24.2,1 - 4,N/A,N/A,52mm,N/A,N/A,N/A,"Auto, auto (flash off), P (programmed auto with flexible program), S (shutter-priority auto), A (aperture-priority auto), M (manual); exposure compensation (&#177;5 EV in 1/3 steps)",N/A,N/A,N/A,N/A,Yes,1/4000 - 30 sec.,Optional,N/A,Yes,Secure Digital (SD)|Secure Digital Extended Capacity (SDXC)|Secure Digital High Capacity (SDHC),"Approximately 921,000 dots (VGA) resolution with approximately 160&#176; viewing angle",No,"Eye-level pentamirror single-lens reflex viewfinder with approximately 95% horizontal frame coverage, approximately 0.78x magnification and diopter adjustment",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"100 - 6400 (expandable to 12,800 equivalent)",24.7,Yes,N/A,N/A,No,N/A,f/3.5 - f/5.6 (with included 18 - 55mm lens); f/4 - f/5.6 (with included 55 - 200mm lens),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Date and time/date,Yes,N/A,N/A,N/A,3x (with 18 - 55mm lens); 3.6x (with 55 - 200mm lens),"2, 5, 10 or 20 sec.",N/A,"Red-eye reduction, slow sync, slow sync with red-eye reduction, rear-curtain sync, front-curtain sync",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,Yes,N/A,N/A,Yes,N/A,N/A,N/A,No,N/A,yes,20.6 megapixels,EOS Digital Solution disk and software instruction manual CD,N/A,N/A,Other,1,N/A,N/A,N/A,NTSC|Mini HDMI|PAL,CMOS,Yes,N/A,N/A,N/A,No,N/A,Yes,N/A,Yes,23.9 millimeters,N/A,N/A,5472 x 3648,N/A,N/A,N/A,102400,Yes,N/A,N/A,N/A,N/A,"Manual setting range of ISO 100-25600 (expansion possible to ISO 50, ISO 51200 and 102400) in 1/3-stop or whole-stop increments",N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,None,DSLR Camera Body Only,100,Yes,Black,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes,N/A,Yes,Yes,Yes,Secure Digital Extended Capacity (SDXC)|Secure Digital|Secure Digital High Capacity (SDHC),Yes,"1/4000 to 30 sec., X-sync at 1/180 sec. (Total shutter speed range. Available range varies by shooting mode.)",N/A,No,N/A,N/A,N/A,N/A,Optical,N/A,N/A,12801,No,N/A,N/A,Canon EF,N/A,N/A,N/A,N/A,35.8 millimeters,N/A,N/A,N/A,Other,N/A,N/A,"Auto, preset (daylight, shade, cloudy, tungsten light, white fluorescent light, flash) and more",N/A,No,20.2 megapixels,Yes,N/A,N/A,N/A,"Scene Intelligent Auto, creative auto, landscape, close-up, sports, special scene modes (night portrait, HDR backlight control), and more",N/A,Yes,N/A,N/A,N/A,N/A,N/A,3 inches,N/A,N/A,N/A,N/A,JPEG|RAW|Other,Yes,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,No,3.5 f/,N/A,No,3.3 feet,N/A,N/A,No,N/A,yes,18.7 megapixels,N/A,N/A,N/A,N/A,N/A,N/A,"Landscape, close-up, sports and more",N/A,N/A,CMOS,Yes,Optical,N/A,N/A,No,N/A,No,N/A,Yes,14.9 millimeters,N/A,N/A,5184 x 3456,N/A,N/A,N/A,12800,Yes,N/A,3.3 feet,N/A,N/A,100-6400,0 millimeters,3.5 f/,N/A,N/A,N/A,N/A,N/A,1,N/A,68.9 feet,None,DSLR Camera with Lens,100,Yes,Black,N/A,N/A,43 feet,N/A,N/A,N/A,3 frames per second,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes,Yes,No,Secure Digital Extended Capacity (SDXC) Card|Secure Digital High Capacity (SDHC)|Secure Digital,Yes,30 - 1/4000 sec.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6400,No,No,Windows|Mac|Linux,Canon EF|Canon EF-S,N/A,N/A,N/A,300 millimeters,22.3 millimeters,N/A,18 millimeters,N/A,LCD,N/A,N/A,"Auto, daylight, shade, cloudy, tungsten light, white fluorescent light, flash, custom",N/A,No,18.0 megapixels,N/A,N/A,N/A,N/A,Program AE; Shutter-Priority AE; Aperture-Priority AE; Manual Exposure; Scene Intelligent Auto; Flash Off; Creative Auto; Portrait; Landscape,N/A,Yes,3x,N/A,N/A,Auto|Off,N/A,3 inches,N/A,N/A,N/A,Yes,JPEG|RAW|Other,Yes,N/A,N/A
N/A,Yes,N/A,N/A,No,N/A,N/A,N/A,No,Yes,yes,24.7 megapixels,N/A,N/A,N/A,Hot Shoe,1,N/A,N/A,N/A,HDMI,CMOS,Yes,Hybrid,N/A,N/A,No,N/A,No,N/A,N/A,23.9 millimeters,N/A,N/A,6000 x 4000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Still images: Auto (ISO 100 - 6400, selectable lower limit and upper limit), ISO 100 - 25,600; Movies: ISO 100 - 6400 equivalent",N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,4x,DSLR Camera Body Only,N/A,Yes,Black,N/A,N/A,N/A,"Vertical grip (VGC99AM), rechargeable battery (NP-FM500H), battery charger, USB cable, shoe adapter, shoulder strap, body cap, accessory shoe cap, eyepiece cup, CD-ROM, multi-interface-to-auto lock accessory (ADP-MAA), battery tray, terminal cover",N/A,N/A,5 frames per second,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Memory Stick PRO Duo|Memory Stick PRO-HG Duo|Secure Digital|Secure Digital High Capacity (SDHC)|Secure Digital Extended Capacity (SDXC),Yes,Still images: 1/8000 to 30 sec.; Bulb movies: 1/8000 to 1/4 sec. (1/3 step); AUTO mode: up to 1/60 sec.; Auto slow shutter mode: up to 1/30 sec.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,Windows|Mac,Sony A-Mount,N/A,N/A,N/A,N/A,35.8 millimeters,N/A,N/A,N/A,LCD,N/A,N/A,N/A,N/A,No,24.3 megapixels,Yes,N/A,N/A,N/A,"AUTO (iAUTO, superior auto), P (programmed AE), A (aperture priority), S (shutter-speed priority), M (manual), scene selection and more",N/A,No,N/A,N/A,N/A,Auto|Fill-in|Slow sync|Red-eye reduction|Off,N/A,3 inches,N/A,N/A,N/A,N/A,JPEG|RAW,Yes,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,Adaptable,3.5 f/,N/A,No,N/A,N/A,N/A,No,N/A,yes,24.7 megapixels,NikonView NX2 CD-ROM,N/A,N/A,Other,1,N/A,N/A,N/A,N/A,CMOS,Yes,N/A,N/A,N/A,No,N/A,No,N/A,Yes,24 millimeters,N/A,N/A,N/A,N/A,N/A,N/A,25600,N/A,N/A,N/A,N/A,N/A,"100 - 6400 (expandable to 25,600)",6.4 millimeters,22 f/,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,None,DSLR Camera with Lens,100,Yes,Black,N/A,N/A,39 feet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Adaptable,Secure Digital,Yes,"1/4,000 to 30s",N/A,N/A,N/A,N/A,N/A,N/A,Optical,Auto Focus,N/A,6400,No,N/A,N/A,Bayonet,N/A,N/A,N/A,85 millimeters,35.9 millimeters,N/A,24 millimeters,N/A,LCD,N/A,N/A,N/A,N/A,No,24.3 megapixels,N/A,N/A,N/A,N/A,"Photography Live View mode, Movie Live View mode",N/A,Yes,N/A,N/A,N/A,Slow sync|Auto|Off|Red-eye reduction,N/A,3.2 inches,N/A,N/A,No,N/A,JPEG,Yes,No,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
