EPEAT Qualified,Touchscreen,ENERGY STAR Certified,Number Of eSATA Ports,2-in-1 Design,Processor Brand,Media Card Reader,Number Of Auxiliary Outputs,Additional Audio/Video Connectors,"Number Of External 3.5"" Bays",EPEAT Level,Speakers,Video Memory,Type of Memory (RAM),Integrated Microphone,Battery Life,Video Memory Type,System Memory RAM Speed,Operating System,"Number Of Internal 5.25"" Bays",Game Ports,Networking,Screen Size,System Memory (RAM),Bluetooth-Enabled,Number Of PCI-E x16 Slots,Battery Type,Operating System Architecture,NFC Enabled,Voice Recognition,Number Of Memory Slots,Built-in Webcam,Hard Drive Capacity,Graphics,Embedded Mobile Broadband,Optical Drive,Number Of PCI-E x1 Slots,Number Of Ethernet Ports,Bluetooth Enabled,HDMI Output,Ethernet,Wireless Display,Touch Screen,Number Of HDMI Outputs,Digital Media Reader or Slots,Port Type(s),Best Buy PC App,Number Of PCI Slots,Computer Hard Drive Size,Number Of DVI Ports,LTE,Gaming Series,Audio Technology,Green Compliance,"Number Of External 5.25"" Bays",Number Of PCI-E x2 Slots,Color Category,Screen Size (Measured Diagonally),Direct-Disc Labeling,Cache Memory,Number Of PCI-E x4 Slots,Processor,Wireless Networking,Graphics Card,PCMCIA Slots,Built-In Webcam,Ultrabook,Optical Drive Type,Blu-Ray Player,Drive Capacity,Number Of AGP Slots,pricematch,S-Video Outputs,Pointing Device,"Number Of Internal 3.5"" Bays",System Memory (RAM) Expandable To,Numeric Keypad,IEEE 1394 FireWire Ports,System Memory RAM Expandable To,TV Tuner,USB 2.0 Ports,Laptop Weight,Backlit Keyboard,Number Of PCI-E x8 Slots,Operating System Bit Version,Parallel Ports,Touchpad Type,Hard Drive Type,Display Type,Optical Drive Speeds,Memory Slots Total,Wireless Capability,Operating System Platform,Included Software,Blu-ray Player,Processor Speed,Convertible,2-in-1,Audio,Additional Accessories Included,Number Of USB Port(s),Carrier Compatibility,Number Of DisplayPort Outputs,Battery Capacity,Number Of VGA Ports,Processor Model,MPEG,Provider_Product_ID,Speaker Type,Hard Drive RPM,3D-Capable,Screen Resolution,Modem,Number Of IEEE 1394 Ports,Graphics Chip
No,No,No,No,No,Intel,Yes,1,No,No,No,No,No,DDR3L,No,4.07 hours,No,No,Windows 8.1,No,No,No,15.6 inches,8 gigabytes,No,No,Other,64-bit,No,No,No,No,1000 gigabytes,No,None,No,No,1,Yes,No,Built-in 100/1000 Ethernet LAN,No,Yes,1,No,3.5mm audio|Ethernet|HDMI|USB,No,No,No,No,No,No,No,No,No,No,Silver,No,No,6 megabytes,No,No,Wireless-AC|Wireless-B|Wireless-G|Wireless-N,NVIDIA GeForce GTX 860M,No,Yes,No,DVD+RW|DVD-RW|CD-RW,No,No,No,No,No,No,No,No,No,No,16 gigabytes,No,No,No,No,No,No,No,Touchpad,SATA,Touchscreen LED,No,No,No,No,Amazon Kindle; Nitro Pro PDF; Dragon Assistant and more,No,2.4 gigahertz,No,No,No,No,3,No,0,No,0,Intel 4th Generation Core i7,No,No,No,No,No,No,No,No,NVIDIA
No,No,No,No,No,Intel,Yes,No,No,No,No,No,2000 megabytes,DDR3L,No,4 hours,Dedicated,No,Windows 8.1,No,No,No,15.6 inches,8 gigabytes,No,No,Lithium-ion,No,No,No,No,No,1000 gigabytes,Discrete,No,No,No,No,Yes,No,100/1000 Mbps Ethernet LAN (RJ-45 connector),Yes,No,1,No,S/PDIF|USB 2.0|USB 3.0|HDMI|RJ-45,No,No,No,No,No,No,Dolby Advanced Audio,No,No,No,Black,No,No,No,No,No,Wireless-AC,NVIDIA GeForce GTX 860M,No,Yes,No,DVD-RW|CD-RW,No,No,No,yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Touchpad,No,Other,No,No,No,No,"PowerDVD, Power2Go, PowerDirector, Nitro Pro PDF, Evernote and more",No,3.5 gigahertz,No,No,No,No,3,No,No,No,No,Intel 4th Generation Core i5,No,No,JBL,No,No,1920 x 1080 (Full HD),No,No,NVIDIA
No,No,No,No,No,Intel,Yes,No,No,No,No,No,No,DDR3L,No,8 hours,No,1600 megahertz,Windows 8.1,No,No,No,13.3 inches,4 gigabytes,No,No,Lithium-ion,64-bit,No,No,No,No,500 gigabytes,Integrated,No,No,No,0,Yes,No,No,No,Yes,1,No,Headphone|Microphone|HDMI|USB 3.0|USB 2.0,No,No,No,No,No,No,MaxxAudio,No,No,No,Silver,No,No,3 megabytes,No,No,Wireless-AC,Intel HD Graphics 5500,No,Yes,No,None,No,No,No,yes,No,No,No,No,No,No,8 gigabytes,No,No,No,Yes,No,No,No,Touchpad,SATA,LED,No,No,No,No,No,No,2.7 gigahertz,No,No,No,No,3,No,No,No,No,Intel 5th Generation Core i5,No,No,Stereo,5400 revolutions per minute,No,1366 x 768 (HD),No,No,Intel
No,No,No,No,No,Intel,Yes,No,No,No,No,No,1000 megabytes,DDR3,No,13 hours,No,No,Windows 8.1 Pro,No,No,No,14 inches,8 gigabytes,No,No,Lithium-ion,64-bit,No,No,No,No,500 gigabytes,No,No,No,No,1,Yes,No,10/100/1000 Mbps Fast Ethernet LAN (RJ-45 connector),No,No,1,No,USB 2.0|USB 3.0|Ethernet|HDMI|VGA|Headphone|Microphone,No,No,No,No,No,No,SonicMaster,No,No,No,Black,No,No,No,No,No,Wireless-AC,NVIDIA GT 820,No,Yes,No,DVD|DVD+R DL|DVD-R DL|DVD+RW|DVD-RW|DVD-ROM|CD|CD-R|CD-RW,No,No,No,yes,No,No,No,No,No,No,16 gigabytes,No,No,No,No,No,No,No,Built-in wide 16:9 touchpad with fingers for touch support,No,LCD,No,No,No,No,No,No,1.6 gigahertz,No,No,No,No,4,No,No,No,1,Intel 4th Generation Core i5,No,No,No,7200 revolutions per minute,No,1366 x 768 (HD),No,No,NVIDIA
No,No,No,0,No,Intel,Yes,0,No,0,No,No,No,DDR3L,No,5 hours,Shared,No,Windows 7 Professional,0,No,No,14 inches,4 gigabytes,No,No,Lithium-ion,64-bit,No,No,2,No,500 gigabytes,Integrated,None,No,No,1,Yes,No,Built-in Gigabit Ethernet LAN (RJ-45 connector),No,No,0,No,Ethernet|VGA|USB,No,No,No,No,No,No,No,No,0,No,Black,No,No,2 megabytes,No,No,Wireless-A|Wireless-B|Wireless-G|Wireless-N,Intel HD,No,Yes,No,DVD|DVD+R|DVD-R|DVD+RW|DVD-RW|DVD-ROM|DVD-RAM|CD|CD-R|CD-RW,No,No,No,yes,No,No,0,No,No,No,16 gigabytes,No,No,No,No,No,No,No,Multigesture,SATA,LED,No,No,No,No,No,No,1.7 gigahertz,No,No,No,No,3,No,0,2500 milliampere hours,1,Intel Pentium,No,No,No,5400 revolutions per minute,No,1366 x 768 (HD),No,No,Intel
No,No,No,No,No,Intel,Yes,No,No,No,No,No,No,DDR3 SDRAM,No,No,No,1600 megahertz,Windows 7 Professional,No,No,No,12.5 inches,8 gigabytes,No,No,Lithium-ion,64-bit,Yes,No,No,No,128 gigabytes,Integrated,None,No,No,No,Yes,No,Via included adapter,No,No,No,No,No,No,No,No,No,No,No,DTS Studio Sound,No,No,No,Silver,No,No,4 megabytes,No,No,Wireless-A|Wireless-B|Wireless-G|Wireless-N|Wireless-AC,Intel HD Graphics 5300,No,Yes,No,None,No,No,No,yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Touchpad,Solid State Drive,LED,No,No,No,No,No,No,1.1 gigahertz,No,No,No,"Side dock adapter, Windows 8.1 Pro license media",No,No,No,No,No,Intel,No,No,Built-in stereo,No,No,No,No,No,Intel
Yes,No,Yes,No,No,Intel,No,No,No,No,Gold,No,No,LPDDR3,No,No,No,No,No,No,No,No,11.6 inches,4 gigabytes,No,No,Lithium-polymer,No,No,No,2,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Silver,No,No,No,No,No,No,Intel HD Graphics 6000,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,8 gigabytes,No,No,No,No,No,No,No,Multi-touch,No,LED,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Intel
No,No,Yes,No,No,Intel&#174;,No,No,No,No,No,No,No,DDR3 SDRAM,Yes,No,No,No,Windows 7 Professional,No,No,Gigabit Ethernet LAN (RJ-45 Connector),No,4 gigabytes,Yes,No,6-cell Lithium Ion (Li-Ion) 6000 mAh,No,No,No,No,Yes,No,Intel HD 3000,No,DVD&#177;RW/CD-RW,No,No,No,Yes,No,No,No,No,Yes,No,No,No,500GB,No,No,No,No,EPEAT Silver|Energy Star,No,No,No,"14""",No,3MB,No,Intel&#174; Core&#8482; i5,IEEE 802.11a/b/g/n,No,ExpressCard/34,No,No,No,No,500GB,No,No,No,TouchPad,No,8GB,No,No,No,No,2,No,No,No,64-bit,No,No,Serial ATA 7200 RPM HDD,Widescreen Active Matrix TFT Color LCD LED Backlit with ComfyView Technology,No,2,Wi-Fi,Windows,"Microsoft&#174; Office Starter: reduced-functionality Word and Excel&#174; only, with advertising. No PowerPoint&#174; or Outlook&#174;. Buy Office 2010 to use the full-featured software.Bing&#8482; BarWindows Live&#8482; Essentials",No,2.60GHz,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Intel
No,No,No,No,No,Samsung,No,No,No,No,No,No,No,DDR3,No,Not available,No,No,Chrome OS,No,None,None,No,2GB,Yes,No,3-cell Lithium Ion (Li-Ion),No,No,No,No,Yes,No,ARM Mali T604,No,Not included,No,No,No,Yes,No,No,No,No,No,No,No,No,16GB,No,No,No,No,No,No,No,No,"11.6""",No,No,No,Samsung Exynos,Wireless-A+B+G+N,ARM Mali T604,None,No,No,No,No,16GB,No,yes,None,No,No,Nonexpandable,No,None,No,No,2,Ultraportable (5.5 lbs. or less),No,No,No,None,No,SSD (Solid State Drive),HD LED,No,No,No,Chrome,No,No,1.7GHz,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None,No,ARM
Yes,No,Yes,No,No,Intel,Yes,1,No,No,Gold,No,No,DDR3 SDRAM,No,11 hours,Shared,No,Windows 7 Professional,0,No,No,15.6 inches,4 gigabytes,No,No,Lithium-ion,64-bit,No,No,No,No,180 gigabytes,Integrated,None,No,No,1,Yes,No,Built-in Intel&#174; I218-LM 10/100/1000 Gigabit Ethernet LAN,No,No,0,No,USB|Ethernet|3.5mm audio,No,No,No,No,No,No,No,No,0,No,Black,No,No,3 megabytes,No,No,Wireless-A|Wireless-B|Wireless-G|Wireless-N,Intel HD Graphics 4000,No,Yes,No,CD-RW|DVD+RW|DVD-RW,No,No,No,yes,No,No,No,No,No,No,16 gigabytes,No,No,No,No,No,No,No,Touchpad with on/off button,Other,LED-LCD,No,No,No,No,No,No,1.9 gigahertz,No,No,No,No,4,No,0,No,0,Intel 4th Generation Core i5,No,No,No,7200 revolutions per minute,No,1920 x 1080 (Full HD),No,No,Intel
No,No,No,No,No,Intel,Yes,1,No,No,No,No,No,DDR3L SDRAM,No,No,No,No,Windows 7 Home Premium,No,No,No,15.6 inches,4 gigabytes,No,No,Lithium-ion,64-bit,No,No,1,No,500 gigabytes,No,None,No,No,1,Yes,No,Built-in Gigabit Ethernet LAN,No,No,1,No,3.5mm audio|Ethernet|HDMI|USB|VGA,No,No,No,No,No,No,No,No,No,No,Black,No,No,2 megabytes,No,No,Wireless-B|Wireless-G|Wireless-N,Intel Graphics Media Accelerator HD,No,Yes,No,DVD+RW|DVD-RW|CD-RW,No,No,No,yes,No,No,No,No,No,No,8 gigabytes,No,No,No,No,No,No,No,Touchpad with multitouch gesture support,SATA,Widescreen LCD,No,No,No,No,Bing Bar and more,No,1.4 gigahertz,No,No,No,No,3,No,0,No,1,Intel Celeron,No,No,No,5400 revolutions per minute,No,No,No,No,Intel
Yes,Yes,No,No,No,Intel&#174;,No,No,No,No,No,No,No,DDR3L SDRAM,No,Not available,No,No,Windows 8.1,No,None,Built-in 10/100/1000 Gigabit Ethernet LAN (RJ-45 connector),No,8 gigabytes,Yes,No,6-cell Lithium Ion (Li-Ion) 2200 mAh,No,No,No,No,Yes,No,Intel&#174; HD Graphics 4600,No,Not included,No,No,No,Yes,No,No,No,No,"Yes, digital media card reader",No,No,No,750GB,No,No,No,No,No,No,No,No,"15.6""",No,3MB on die Level 3,No,Intel&#174; 4th Generation Core&#8482; i5,Wireless-AC,Intel&#174; HD Graphics 4600,None,No,No,No,No,750GB,No,yes,No,Touchpad,No,Nonexpandable,No,None,No,No,2 USB 3.0; 2 USB 2.0,Standard (more than 5.5 lbs.),No,No,64-bit,None,No,No,HD touchscreen,No,No,No,Windows,Dragon Assistant; CyberLink PowerDirector; Evernote and more,No,2.6GHz,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None,No,Intel
No,No,No,No,No,Intel,Yes,1,No,No,No,No,No,DDR3 SDRAM,No,4 hours,Dedicated,No,Windows 8.1,No,No,No,17.3 inches,16 gigabytes,No,No,Lithium-ion,64-bit,No,No,3,No,1000 gigabytes,Discrete,None,No,No,1,Yes,No,Built-in Killer Ethernet LAN,No,No,1,No,3.5mm audio|Ethernet|HDMI|USB|VGA,No,No,No,No,No,No,High-definition; Realtek ALC892-GR,No,0,No,Gray,No,No,6 megabytes,No,No,Wireless-B|Wireless-G|Wireless-N,NVIDIA GeForce GTX 880M,No,Yes,No,CD-RW|DVD+RW|DVD-RW,No,No,No,yes,No,No,No,No,No,No,32 gigabytes,No,No,No,Yes,No,No,No,Touchpad,SATA + Solid State Drive,Widescreen LED,No,No,No,No,"Operating System, Drivers",No,2.8 gigahertz,No,No,No,No,5,No,0,7800 milliampere hours,1,Intel 4th Generation Core i7,No,No,Internal,7200 revolutions per minute,No,1920 x 1080 (Full HD),No,0,NVIDIA
Yes,No,No,0,No,Intel,Yes,1,No,0,Silver,No,2048 megabytes,DDR3L SDRAM,No,6.5 hours,Dedicated,No,Windows 8.1,0,No,No,17.3 inches,12 gigabytes,No,No,Lithium-ion,64-bit,No,Yes,0,No,1000 gigabytes,Discrete,None,No,No,1,Yes,No,10/100/1000 Gigabit Ethernet LAN (RJ-45 connector),No,Yes,1,No,Ethernet|HDMI|USB 3.0|Headphone|Microphone,No,0,No,0,No,No,BeatsAudio,No,0,No,Silver,No,No,4 megabytes,No,No,Wireless-AC,NVIDIA GeForce 840M,No,Yes,No,DVD-RW|DVD+RW|CD-R|CD-RW,No,No,0,yes,No,No,0,No,Yes,No,No,No,No,No,Yes,No,No,No,ControlZone trackpad,SATA,Touchscreen LED,No,No,No,No,"Dragon Assistant; CyberLink PhotoDirector, CyberLink PowerDirector and more",No,2.4 gigahertz,No,No,No,No,3,No,0,2800 milliampere hours,0,Intel 5th Generation Core i7,No,No,BeatsAudio dual speakers with subwoofer,5400 revolutions per minute,No,1920 x 1080 (Full HD),No,0,NVIDIA
No,No,No,No,No,Intel,Yes,No,No,No,No,No,2000 megabytes,DDR3L,No,6.45 hours,No,1600 megahertz,Windows 8.1,No,No,No,17.3 inches,16 gigabytes,No,No,Lithium-ion,64-bit,No,No,No,No,1000 gigabytes,No,No,No,No,1,Yes,No,10/100/1000 Ethernet LAN (RJ-45 connector),No,Yes,1,No,Headphone|Microphone|HDMI|USB 3.0|RJ-45,No,No,No,No,No,No,MaxxAudio,No,No,No,Silver,No,No,4 megabytes,No,No,Wireless-AC,NVIDIA GeForce 845M,No,Yes,No,DVD-R|DVD-RW|CD-RW|CD-R|CD|DVD|DVD+R|DVD+RW,No,No,No,yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Touchpad,SATA,Touchscreen LED,No,No,No,No,No,No,3.0 gigahertz,No,No,No,No,4,No,No,No,No,Intel 5th Generation Core i7,No,No,Stereo,No,No,1920 x 1080 (Full HD),No,No,NVIDIA
Yes,No,Yes,No,No,Intel,Yes,No,No,No,Gold,No,No,DDR3L,No,No,No,No,Mac OS X 10.9 Mavericks,No,No,No,15.4 inches,16 gigabytes,No,No,Lithium-polymer,No,No,No,No,No,256 gigabytes,No,No,No,No,0,Yes,No,None,No,No,1,No,HDMI|USB,No,No,No,No,No,No,No,No,No,No,Silver,No,No,No,No,No,Wireless-AC,NVIDIA GeForce GT 750M,No,Yes,No,No,No,No,No,yes,No,No,No,No,No,No,0 gigabytes,No,No,No,No,No,No,No,Touchpad with multitouch control,Other,LED,No,No,No,No,No,No,2.2 gigahertz,No,No,No,No,2,No,0,No,0,Intel 4th Generation Core i7,No,No,No,No,No,No,No,No,NVIDIA
Yes,No,No,No,No,Intel,Yes,No,No,No,Silver,No,4000 megabytes,DDR3L,No,8 hours,Dedicated,1600 megahertz,Windows 8.1,No,No,No,15.6 inches,12 gigabytes,No,No,Lithium-ion,64-bit,No,No,No,No,1000 gigabytes,Discrete,No,No,No,0,Yes,No,No,No,Yes,1,No,USB 2.0|USB 3.0|HDMI,No,No,No,No,No,No,MaxxAudio,No,No,No,Silver,No,No,4 megabytes,No,No,Wireless-AC,AMD Radeon R7 M270,No,Yes,No,None,No,No,No,yes,No,No,No,No,No,No,16 gigabytes,No,No,No,No,No,No,No,Not Applicable,No,Touchscreen LED,No,No,No,No,No,No,3.0 gigahertz,No,No,No,No,3,No,No,No,No,Intel 5th Generation Core i7,No,No,Stereo,5400 revolutions per minute,No,3840 x 2160 (UHD),No,No,AMD
No,No,No,No,No,Intel,Yes,No,No,No,No,No,4000 megabytes,DDR3,No,4 hours,No,No,Windows 8.1,No,No,No,15.6 inches,16 gigabytes,No,No,Lithium-ion,64-bit,No,No,No,No,1064 gigabytes,No,No,No,No,No,Yes,No,No,No,No,1,No,USB 2.0,No,No,No,No,No,No,HD Audio; Realtek ALC269Q,No,No,No,Multi,No,No,No,No,No,No,NVIDIA GeForce GTX 860M,No,Yes,No,DVD+RW,No,No,No,yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Integrated,SATA + Solid State Drive,LED,No,No,No,No,No,No,2.5 gigahertz,No,No,No,No,2,No,No,No,No,Intel 4th Generation Core i7,No,No,No,7200 revolutions per minute,No,No,No,No,NVIDIA
Yes,No,No,No,No,Intel,Yes,No,No,No,Silver,No,No,DDR3L SDRAM,No,No,Shared,No,Chrome OS,No,No,No,14 inches,4 gigabytes,No,No,Lithium-polymer,32-bit,No,No,1,No,16 gigabytes,Integrated,4G LTE,No,No,No,Yes,No,No,No,No,1,No,USB 2.0,No,No,No,No,No,No,No,No,No,No,Black,No,No,2 megabytes,No,No,Wireless-N,Intel HD Graphics,No,Yes,No,None,No,No,No,yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Solid State Drive,Widescreen LCD,No,No,No,No,No,No,1.4 gigahertz,No,No,No,No,3,No,No,No,No,Intel Celeron,No,No,No,No,No,1366 x 768 (HD),No,No,Intel
Yes,No,No,No,No,Intel,Yes,No,No,No,Gold,No,No,DDR3 SDRAM,No,No,Shared,No,Windows 8.1,No,No,No,14 inches,4 gigabytes,No,No,Lithium-ion,64-bit,No,No,2,No,500 gigabytes,Integrated,None,No,No,1,Yes,No,Gigabit with RJ-45 connector,No,No,1,No,Ethernet,No,No,No,No,No,No,No,No,No,No,Black,No,No,3 megabytes,No,No,Wireless-A,Intel HD Graphics 4400,No,Yes,No,DVD+R,No,No,No,yes,No,No,No,No,No,No,16 gigabytes,No,No,No,No,No,No,No,Multitouch gesture,SATA,LED,No,No,No,No,"CyberLink Power2Go, CyberLink PowerDVD, CyberLink YouCam BE and more",No,1.9 gigahertz,No,No,No,"4-cell lithium-ion battery, AC adapter, software",4,No,No,No,1,Intel 4th Generation Core i3,No,No,No,5400 revolutions per minute,No,1366 x 768 (HD),No,No,Intel
No,No,No,0,No,AMD,Yes,0,No,0,No,No,3328 megabytes,DDR3L SDRAM,No,5.25 hours,Shared,No,Windows 8.1,0,No,No,15.6 inches,6 gigabytes,No,0,Lithium-ion,No,No,No,No,No,750 gigabytes,Integrated,None,No,0,1,Yes,No,10/100Base-T,No,Yes,1,No,USB 3.0|USB 2.0|Ethernet|HDMI,No,0,No,0,No,No,BeatsAudio,No,0,0,Silver,No,No,2 megabytes,0,No,Wireless-B|Wireless-G|Wireless-N,AMD Radeon R5,No,Yes,No,DVD+R|DVD-R|DVD+RW|DVD-RW|CD-R|CD-RW,No,No,0,yes,No,No,0,No,Yes,No,No,No,No,No,Yes,0,No,No,Not Applicable,SATA,Touchscreen LED,No,No,No,No,"Foxit PhantomPDF; Evernote; CyberLink PowerDirector, CyberLink PhotoDirector and more",No,2.4 gigahertz,No,No,No,"4-cell lithium-ion battery (2800 mAh), AC adapter, software",3,No,0,2800 milliampere hours,0,AMD A8-Series,No,No,BeatsAudio,5400 revolutions per minute,No,1366 x 768 (HD),No,0,AMD
Yes,No,No,0,Yes,Intel,Yes,1,No,0,Silver,No,No,DDR3L SDRAM,No,6.25 hours,Shared,No,Windows 8.1,0,No,No,15.6 inches,12 gigabytes,No,0,Lithium-ion,64-bit,No,Yes,0,No,1000 gigabytes,No,None,No,0,1,Yes,No,10/100/100 Gigabit Ethernet LAN (RJ-45 connector),No,Yes,1,No,3.5mm audio|HDMI|Ethernet|USB 2.0|USB 3.0,No,0,No,0,No,No,No,No,0,0,Silver,No,No,4 megabytes,0,No,Wireless-AC,Intel HD Graphics 5500,No,Yes,No,None,No,No,No,yes,No,No,0,No,Yes,No,0 gigabytes,No,No,No,Yes,0,No,No,ControlZone trackpad,SATA,LED,No,No,No,No,"Dragon Assistant; CyberLink PhotoDirector, CyberLink Power Media Player and more",No,2.4 gigahertz,No,No,No,No,3,No,0,3820 milliampere hours,0,Intel 5th Generation Core i7,No,No,Built-in BeatsAudio dual,5400 revolutions per minute,No,1920 x 1080 (Full HD),No,0,Intel
No,No,No,No,No,Intel,Yes,No,No,No,No,No,No,DDR3L,No,No,No,No,Windows 8.1,No,No,No,13.3 inches,4 gigabytes,No,No,Lithium-ion,64-bit,No,No,No,No,500 gigabytes,No,No,No,No,0,Yes,No,None,No,Yes,1,No,USB|HDMI,No,No,No,No,No,No,HD Audio enhanced with Waves MaxxAudio,No,No,No,Silver,No,No,3 megabytes,No,No,Wireless-N,Intel HD Graphics 4400,No,Yes,No,None,No,No,No,yes,No,No,No,No,No,No,8 gigabytes,No,No,No,Yes,No,No,No,Touchpad,SATA,Touchscreen LED-LCD,No,No,No,No,No,No,1.7 gigahertz,No,No,No,No,3,No,No,No,No,Intel 4th Generation Core i3,No,No,No,5400 revolutions per minute,No,No,No,0,Intel
No,No,No,No,Yes,Intel,Yes,1,No,No,No,No,No,DDR3L SDRAM,No,5.25 hours,Shared,No,Windows 8.1,0,No,No,13.3 inches,4 gigabytes,No,No,Lithium-ion,64-bit,No,No,0,No,500 gigabytes,Integrated,None,No,No,0,Yes,No,None,No,Yes,1,No,HDMI|USB|3.5mm audio,No,No,No,No,No,No,Beats,No,No,No,White,No,No,3 megabytes,No,No,Wireless-B|Wireless-G|Wireless-N,Intel HD Graphics 4200,No,Yes,No,None,No,No,No,No,No,No,No,No,No,No,0 gigabytes,No,No,No,No,No,No,No,Imagepad with multitouch gesture support,SATA,Touchscreen LED,No,No,No,No,"Amazon Kindle for Windows 8; CyberLink PowerDirector, CyberLink PhotoDirector and more",No,1.5 gigahertz,No,No,No,No,2,No,0,No,No,Intel 4th Generation Core i3,No,No,Internal,5400 revolutions per minute,No,1366 x 768 (HD),No,0,Intel
Yes,Yes,Yes,No,No,Intel&#174;,No,No,No,No,No,Internal,No,DDR3L SDRAM,No,Not available,No,No,Windows 8.1,No,None,Built-in 10/100Base-T Ethernet LAN (RJ-45 connector),No,4 gigabytes,Yes,No,12-cell Lithium Ion (Li-Ion),No,No,No,No,Yes,No,Intel&#174; HD,No,Not included,No,No,No,Yes,No,No,No,No,"Yes, digital media card reader",No,No,No,500GB,No,No,No,No,No,No,No,No,"11.6""",No,2MB on die Level 3,No,Intel&#174; Pentium&#174;,Wireless-B+G+N,Intel&#174; HD,None,No,No,No,No,500 gigabytes,No,yes,None,Imagepad with multitouch gesture support,No,Nonexpandable,No,None,No,No,1 USB 3.0; 2 USB 2.0,Ultraportable (5.5 lbs. or less),No,No,64-bit,None,No,No,HD LED touchscreen,No,No,No,Windows,"CyberLink PowerDirector, CyberLink PhotoDirector, CyberLink Media Suite and more",No,2.17GHz (with Turbo Boost up to 2.42GHz),No,Yes,Beats Audio,No,No,No,No,No,No,No,No,No,No,No,No,No,None,No,Intel
No,Yes,No,No,No,Intel&#174;,No,No,No,No,No,Internal,No,DDR3L SDRAM,No,Not available,No,No,Windows 8.1,No,None,None,No,4 gigabytes,Yes,No,No,No,No,No,No,Yes,No,Intel&#174; HD Graphics 4200,No,Not included,No,No,No,Yes,No,Yes,No,No,"Yes, digital media card reader",No,No,No,500GB with 8GB,No,LTE,No,No,No,No,No,No,"13.3""",No,3MB on die Level 3,No,Intel&#174; 4th Generation Core&#8482; i3,Wireless-AC,Intel&#174; HD Graphics 4200,None,No,No,No,No,500GB with 8GB,No,No,None,HP Imagepad with multitouch gesture support,No,Nonexpandable,No,None,No,No,2 USB 3.0,Ultraportable (5.5 lbs. or less),No,No,64-bit,None,No,No,HD LED touchscreen with IPS,No,No,4G LTE,Windows,"CyberLink PowerDirector, CyberLink PhotoDirector, CyberLink PowerDVD and more",No,1.5GHz,No,Yes,BeatsAudio,No,No,Verizon,No,No,No,No,No,No,No,No,No,No,None,No,Intel
Yes,No,No,No,No,Intel,Yes,No,No,No,Silver,No,No,DDR3L,No,6.55 hours,No,1600 megahertz,Windows 8.1,No,No,No,15.6 inches,8 gigabytes,No,No,Lithium-ion,64-bit,No,No,1,No,1000 gigabytes,No,No,No,No,1,Yes,No,10/100,No,Yes,1,No,USB 3.0|USB 2.0|HDMI|Headphone|Microphone|Ethernet,No,No,No,No,No,No,MaxxAudio,No,No,No,Black,No,No,3 megabytes,No,No,Wireless-N,Intel HD Graphics 5500,No,Yes,No,CD|DVD,No,No,No,yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Touchpad,SATA,Touchscreen LED,No,No,No,No,No,No,2.7 gigahertz,No,No,No,4-cell lithium-ion battery,3,No,No,No,No,Intel 5th Generation Core i5,No,No,Stereo,5400 revolutions per minute,No,1366 x 768 (HD),No,No,Intel
Yes,No,Yes,No,No,Intel,Yes,No,No,No,Silver,No,No,DDR3L,No,No,No,No,Windows 8.1,No,No,No,15.6 inches,6 gigabytes,No,No,Lithium-ion,64-bit,No,No,No,No,1000 gigabytes,No,None,No,No,0,Yes,No,None,Yes,Yes,1,No,HDMI|USB,No,No,No,No,No,No,Waves MaxxAudio Pro,No,No,No,Silver,No,No,3 megabytes,No,No,Wireless-B|Wireless-G|Wireless-N|Wireless-AC,Intel HD Graphics 4400,No,Yes,No,None,No,No,No,No,No,No,No,No,No,No,8 gigabytes,No,No,No,Yes,No,No,No,Precision touchpad,SATA,Touchscreen LED,No,No,No,No,Dragon Assistant 3.0 and more,No,1.7 gigahertz,No,No,No,No,2,No,0,No,0,Intel 4th Generation Core i5,No,No,Internal,5400 revolutions per minute,No,1920 x 1080 (Full HD),No,0,Intel
