Shelf Type,Dual Evaporation,Depth Including Handles (in.),Water-Filtration-Replacement Indicator Light,Freezer Capacity,Ice Maker,Material,Height to Top of Door Hinge (in.),ENERGY STAR Qualified,Power Cord Included,Freezer Door Type,Thru-the-Door Water Dispenser,Sabbath Mode,Depth with Door 90&#176; Open (in.),Number Of Temperature Settings,Number Of Fixed Shelves,Number of Freezer Door Bins,Number of Doors,Humidity-Controlled Crisper,Dispensed Water Type,Interior Light(s),Spill-Safe Shelves,Surface Finish,Number Of Shelves,Freezer Compartment Width,Height to Top of Refrigerator (in.),Child Lock,See-Through Door,Door-Open Alarm,Water Filter Location,ETL Listed,Shelf Material,Lighting Type,Estimated Annual Electricity Use,Door-In-Door Capability,Maximum Temperature,Number of Refrigerator Door Bins,Number of Compressors,Automatic Defrost,Gallon Door Storage,pricematch,Factory-Installed Icemaker,Number of Evaporators,Depth Without Door,Water Dispenser,Digital Temperature Control,Total Capacity (cu. ft.),Amperage,Magnetic Doors,Freezer Compartment,Voltage,Number Of Adjustable Shelves,Bottle Capacity,CEE Qualified,Depth With Handle,Estimated Annual Operating Cost,Number Of Adjustable Freezer Shelves,ANSI Certified,Motion Activated Controls,Number of Temperature Controlled Zones,Number Of Doors,Refrigerator Capacity,Ice Tray Included,Number Of Fixed Freezer Shelves,Temperature Control Type,Color Category,Deli Meat Drawer,Wine Cooler Type,CSA Listed,Storage Capacity,Door-Handle Color,Capacity: Fresh-Food (cu. ft.),Refrigerator Shelf Construction,Height To Top Of Refrigerator,Refrigerator Shelf Material,Refrigerator Type,Cabinet Side Color,UL Listed,Number of Drawers,Depth With Door 90 Degrees Open,Door Lock,Water Filter Model Number,Side Cabinet Color,Wattage,Depth Without Handle,Dairy Center,In-Door Storage,Number of Refrigerator Shelves,Counter Depth,Door Handle Color,Number Of Units,Depth Without Handles (in.),LED Lighting,Frost-Free,Freezer Shelf Material,Thru-The-Door Dispenser,Minimum Temperature,CFC Free,Fresh Food Capacity,Cantilever Shelves,Height To Top Of Door Hinge,Thru-the-Door Ice Dispenser,ENERGY STAR Certified,Quick Freeze,Additional Accessories Included,Freezer Interior Light,Style,Capacity: Freezer (cu. ft.),Freezer Location,Estimated Yearly Operating Cost,Water Filtration,Adjustable Racks,ADA Compliant,Cooling Unit Type,Energy Consumption (kWh/year),Depth Less Door (in.),Ice Cube Style,Reversible Door Hinge,Water Dispenser Location,Estimated Yearly Electricity Use (kWh),Digital Display,NSF Listed,Crisper Drawer,Liner Material,Number of Freezer Shelves Baskets,Daily Ice Production,Dispenser Color,Door Swing,Smart Phone Compatible,Deodorizer,Wine Compatibility,Cord Length
N/A,N/A,N/A,N/A,4 cubic feet,Optional,N/A,N/A,N/A,Yes,Swing Door,N/A,No,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,yes,N/A,N/A,26.63 inches,N/A,N/A,N/A,6 amperes,N/A,Yes,N/A,N/A,N/A,N/A,32.13 inches,N/A,N/A,N/A,N/A,N/A,2,18 cubic feet,N/A,N/A,Analog,Silver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,65.38 inches,Glass,Top Freezer,N/A,N/A,N/A,58.5 inches,No,N/A,N/A,N/A,29.88 inches,Yes,N/A,N/A,No,Stainless-Steel,1,N/A,N/A,N/A,N/A,Not Applicable,N/A,N/A,14 cubic feet,No,66.125 inches,N/A,No,N/A,N/A,N/A,N/A,N/A,Top,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Applicable,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,Wire,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Digital,Silver,N/A,Freestanding,N/A,4.1 cubic feet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Compressor,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,4.02 cubic feet,Yes,N/A,N/A,N/A,Yes,Swing Door,N/A,No,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,443 kilowatt hours,No,N/A,N/A,N/A,N/A,Yes,yes,N/A,N/A,26.625 inches,N/A,N/A,N/A,15 amperes,N/A,Yes,120 volts,N/A,N/A,N/A,32.5 inches,53 United States dollars,1,N/A,N/A,N/A,2,17.6 cubic feet,N/A,N/A,Analog,Black,N/A,N/A,N/A,N/A,N/A,N/A,N/A,66.88 inches,Glass,Top Freezer,N/A,Yes,N/A,56.75 inches,No,N/A,N/A,N/A,30.5 inches,Yes,N/A,N/A,No,Black,1,N/A,N/A,Yes,Glass,Not Applicable,N/A,N/A,13.57 cubic feet,No,67.38 inches,N/A,Yes,N/A,Ice bucket,N/A,N/A,N/A,Top,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Applicable,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,9.7 cubic feet,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,Yes,Water,N/A,Yes,Smooth,N/A,N/A,N/A,Yes,N/A,Yes,N/A,N/A,N/A,N/A,708 kilowatt hours,N/A,N/A,N/A,N/A,N/A,Yes,yes,N/A,N/A,28 inches,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,34.75 inches,85 United States dollars,N/A,N/A,N/A,N/A,N/A,25.4 cubic feet,N/A,4,Electronic,Silver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,69 inches,Spill-proof glass,Side-by-Side,N/A,N/A,N/A,50 inches,Yes,N/A,Gray,N/A,32.75 inches,N/A,N/A,N/A,No,Silver,1,N/A,N/A,N/A,N/A,Water|Cubed Ice,N/A,N/A,15.7 cubic feet,N/A,69.5 inches,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Gray,N/A,N/A,N/A,N/A,N/A
N/A,N/A,32-1/8,N/A,N/A,N/A,N/A,66-1/8,N/A,N/A,Swing Door,No,N/A,58-1/2,N/A,N/A,N/A,2-Door,Yes,N/A,N/A,N/A,Textured,N/A,N/A,65-3/8,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,yes,No,2,N/A,No,N/A,18.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Electric,Stainless/Stainless look,Yes,N/A,N/A,N/A,Stainless-steel,14.1,Glass,N/A,N/A,N/A,Black,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,No,N/A,N/A,29-7/8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,Top Freezer,4,N/A,$48,No,N/A,N/A,N/A,N/A,26-5/8,N/A,N/A,N/A,404,N/A,N/A,Yes,N/A,1,N/A,N/A,Reversible,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,5.2 cubic feet,Optional,N/A,N/A,N/A,Yes,Swing Door,N/A,No,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,yes,N/A,N/A,28.75 inches,N/A,N/A,N/A,6 amperes,N/A,Yes,N/A,N/A,N/A,N/A,34.13 inches,N/A,N/A,N/A,N/A,N/A,2,15.3 cubic feet,N/A,N/A,Electronic,Black,N/A,N/A,N/A,N/A,N/A,N/A,N/A,68.25 inches,Glass,Top Freezer,N/A,N/A,N/A,60 inches,No,N/A,N/A,N/A,31.25 inches,No,N/A,N/A,No,Black,N/A,N/A,N/A,N/A,N/A,Not Applicable,N/A,N/A,N/A,Yes,69.38 inches,N/A,No,N/A,N/A,N/A,N/A,N/A,Top,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Applicable,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,8.6 cubic feet,Yes,N/A,N/A,N/A,Yes,Pull Out Drawer,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Internal,N/A,N/A,LED,703 kilowatt hours,No,N/A,N/A,N/A,N/A,Yes,yes,N/A,N/A,29.375 inches,N/A,N/A,N/A,15 amperes,N/A,Yes,N/A,N/A,N/A,N/A,36.25 inches,84 United States dollars,N/A,N/A,N/A,N/A,2,25.7 cubic feet,N/A,N/A,Electronic,Black,N/A,N/A,N/A,N/A,N/A,N/A,N/A,69 inches,Glass,French Door,N/A,N/A,N/A,48.375 inches,No,RPWF,N/A,N/A,34.75 inches,No,N/A,N/A,No,Black,N/A,N/A,N/A,N/A,Plastic,Crushed Ice|Cubed Ice|Water,N/A,N/A,17.1 cubic feet,Yes,69.875 inches,N/A,Yes,Yes,N/A,Yes,N/A,N/A,Bottom,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Black,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,4.02 cubic feet,Optional,N/A,N/A,N/A,Yes,Swing Door,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,Textured,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,358 kilowatt hours,No,N/A,N/A,N/A,N/A,Yes,yes,N/A,N/A,26.625 inches,N/A,N/A,N/A,15 amperes,N/A,Yes,120 volts,N/A,N/A,N/A,32.875 inches,43 United States dollars,N/A,N/A,N/A,N/A,2,17.53 cubic feet,N/A,N/A,Analog,Black,N/A,N/A,N/A,N/A,N/A,N/A,N/A,66.875 inches,Wire,Top Freezer,N/A,N/A,N/A,56.75 inches,No,N/A,N/A,N/A,30.5 inches,Yes,N/A,N/A,No,Black,N/A,N/A,N/A,Yes,N/A,Not Applicable,N/A,N/A,13.51 cubic feet,No,67.375 inches,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Top,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Applicable,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,19.4 cubic feet,No,N/A,N/A,N/A,Yes,Pull Out Drawer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Textured,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,yes,N/A,N/A,26.38 inches,N/A,N/A,N/A,N/A,N/A,Yes,N/A,5,N/A,No,31.13 inches,N/A,N/A,N/A,N/A,N/A,1,19.4 cubic feet,N/A,N/A,Analog,Silver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,70.63 inches,Wire,N/A,N/A,N/A,N/A,59.38 inches,Yes,N/A,Black,N/A,28.63 inches,N/A,N/A,N/A,No,Silver,1,N/A,N/A,N/A,N/A,Not Applicable,N/A,N/A,19.4 cubic feet,Yes,71.38 inches,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,3.7 cubic feet,No,N/A,N/A,N/A,N/A,Pull Out Drawer,N/A,N/A,N/A,N/A,2,N/A,N/A,Yes,N/A,N/A,N/A,Textured,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,Other,N/A,N/A,N/A,N/A,N/A,N/A,Yes,yes,N/A,N/A,26.63 inches,N/A,N/A,N/A,N/A,N/A,Yes,120 volts,N/A,N/A,No,31.88 inches,N/A,1,N/A,N/A,N/A,2,14.6 cubic feet,N/A,1,Electronic,White,N/A,N/A,Yes,N/A,N/A,N/A,N/A,59.88 inches,Wire,Top Freezer,N/A,N/A,N/A,56 inches,N/A,N/A,White,0.72 watts,29.88 inches,N/A,N/A,N/A,No,White,1,N/A,N/A,Yes,Glass,Not Applicable,N/A,N/A,10.9 cubic feet,N/A,60.63 inches,N/A,No,N/A,N/A,N/A,N/A,N/A,Top,N/A,No,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,3.9 cubic feet,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,N/A,428 kilowatt hours,N/A,N/A,N/A,N/A,N/A,Yes,yes,N/A,N/A,25.75 inches,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,31.88 inches,51 United States dollars,N/A,N/A,N/A,N/A,N/A,15.5 cubic feet,N/A,N/A,Analog,Silver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,64.25 inches,Spill-proof glass,Top Freezer,N/A,N/A,N/A,55.88 inches,No,N/A,Silver,N/A,29.5 inches,N/A,N/A,N/A,No,Silver,1,N/A,N/A,N/A,N/A,Not Applicable,N/A,N/A,11.6 cubic feet,N/A,64.75 inches,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Top,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,Yes,N/A,N/A,No,N/A,N/A,3,N/A,N/A,Yes,N/A,N/A,Yes,Textured,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,Other,N/A,Yes,N/A,N/A,N/A,N/A,Yes,yes,N/A,N/A,25.75 inches,N/A,N/A,N/A,15 amperes,N/A,No,120 volts,2,N/A,No,31.63 inches,N/A,N/A,N/A,N/A,N/A,2,15.6 cubic feet,N/A,N/A,Analog,Black,N/A,N/A,N/A,N/A,N/A,N/A,N/A,64.25 inches,Spill-proof glass,Top Freezer,N/A,Yes,N/A,55.88 inches,Yes,N/A,Black,N/A,29.5 inches,Yes,N/A,N/A,No,Black,1,N/A,N/A,N/A,N/A,Not Applicable,N/A,N/A,11.6 cubic feet,No,64.75 inches,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,5.1 cubic feet,Yes,N/A,N/A,N/A,N/A,Swing Door,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Other,471 kilowatt hours,N/A,N/A,N/A,N/A,N/A,Yes,yes,N/A,N/A,28.75 inches,N/A,N/A,N/A,15 amperes,N/A,Yes,N/A,N/A,N/A,N/A,34.5 inches,57 United States dollars,N/A,N/A,N/A,N/A,2,20.5 cubic feet,N/A,N/A,Electronic,Black,Yes,N/A,Yes,N/A,N/A,N/A,N/A,69.38 inches,Spill-proof glass,Top Freezer,N/A,N/A,N/A,60 inches,N/A,N/A,N/A,N/A,32 inches,Yes,N/A,N/A,No,Black,N/A,N/A,N/A,N/A,Wire,Not Applicable,N/A,N/A,15.4 cubic feet,No,69.38 inches,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Top,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Applicable,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,4.1 cubic feet,Yes,N/A,N/A,N/A,Yes,Swing Door,N/A,No,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,LED,449 kilowatt hours,No,N/A,N/A,N/A,N/A,Yes,yes,N/A,N/A,26.88 inches,N/A,N/A,N/A,6 amperes,N/A,Yes,120 volts,N/A,N/A,N/A,32.63 inches,54 United States dollars,N/A,N/A,N/A,N/A,2,18.3 cubic feet,N/A,1,Electronic,Silver,Yes,N/A,Yes,N/A,N/A,N/A,N/A,65.88 inches,Glass,Top Freezer,N/A,N/A,N/A,58.5 inches,No,N/A,N/A,N/A,30.13 inches,Yes,N/A,N/A,No,Stainless-Steel,N/A,N/A,N/A,N/A,Glass,Not Applicable,N/A,N/A,14.2 cubic feet,Yes,66.63 inches,N/A,Yes,N/A,N/A,Yes,N/A,N/A,Top,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Applicable,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,6.85 cubic feet,Yes,N/A,N/A,N/A,Yes,Swing Door,N/A,No,N/A,N/A,N/A,N/A,N/A,Yes,Water,N/A,Yes,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Internal,N/A,N/A,Other,604 kilowatt hours,No,N/A,N/A,N/A,N/A,Yes,yes,N/A,N/A,28 inches,N/A,N/A,N/A,15 amperes,N/A,Yes,120 volts,N/A,N/A,N/A,33.625 inches,72 United States dollars,N/A,N/A,N/A,N/A,2,21.84 cubic feet,N/A,N/A,Electronic,Silver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,66.5 inches,Glass,Side-by-Side,N/A,Yes,N/A,49.375 inches,No,MWF,Gray,N/A,31.25 inches,Yes,N/A,N/A,No,Stainless-Steel,1,N/A,N/A,N/A,N/A,Crushed Ice|Cubed Ice|Water,N/A,N/A,14.99 cubic feet,Yes,67.5 inches,N/A,No,N/A,N/A,N/A,N/A,N/A,Left,N/A,Yes,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Black,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,9.2 cubic feet,Yes,N/A,N/A,N/A,N/A,Pull Out Drawer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Smooth,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,LED,N/A,N/A,N/A,N/A,N/A,N/A,Yes,yes,N/A,N/A,29.38 inches,N/A,N/A,N/A,N/A,N/A,Yes,N/A,5,N/A,N/A,36.25 inches,N/A,N/A,N/A,N/A,N/A,3,28.5 cubic feet,N/A,N/A,Digital,Gray,N/A,N/A,N/A,N/A,N/A,N/A,N/A,69 inches,Glass,French Door,N/A,N/A,N/A,48.38 inches,N/A,N/A,N/A,N/A,33.75 inches,N/A,N/A,N/A,No,Silver,N/A,N/A,N/A,N/A,N/A,Not Applicable,N/A,N/A,19.3 cubic feet,N/A,69.88 inches,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,29-9/10,N/A,N/A,N/A,N/A,65-1/2,N/A,N/A,N/A,No,N/A,58-1/2,N/A,N/A,N/A,1-Door,Yes,N/A,N/A,N/A,Smooth,N/A,"27""",66-1/8,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,yes,N/A,2,N/A,No,N/A,18.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Analog,Stainless/Stainless look,Yes,N/A,N/A,N/A,Stainless-steel,14.2,Spill-proof glass,N/A,N/A,N/A,Stainless-steel,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,28-9/10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,Top Freezer,4.1,N/A,$48,No,N/A,N/A,N/A,N/A,28-9/10,N/A,N/A,N/A,404,N/A,N/A,Yes,N/A,N/A,N/A,N/A,Reversible,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,3.7 cubic feet,Optional,N/A,N/A,N/A,Yes,Swing Door,N/A,No,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,336 kilowatt hours,No,N/A,N/A,N/A,N/A,Yes,yes,N/A,N/A,26.63 inches,N/A,N/A,N/A,6 amperes,N/A,Yes,120 volts,N/A,N/A,N/A,31.88 inches,40 United States dollars,N/A,N/A,N/A,N/A,2,14.6 cubic feet,N/A,1,Electronic,White,N/A,N/A,Yes,N/A,N/A,N/A,N/A,59.88 inches,Wire,Top Freezer,N/A,N/A,N/A,56 inches,No,N/A,White,N/A,29.88 inches,Yes,N/A,N/A,No,White,N/A,N/A,N/A,N/A,Wire,Not Applicable,N/A,N/A,10.9 cubic feet,No,60.63 inches,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Top,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Applicable,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,5.13 cubic feet,Optional,N/A,N/A,N/A,Yes,Swing Door,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,369 kilowatt hours,No,N/A,N/A,N/A,N/A,Yes,yes,N/A,N/A,28.375 inches,N/A,N/A,N/A,15 amperes,N/A,Yes,N/A,N/A,N/A,N/A,34.25 inches,44 United States dollars,N/A,N/A,N/A,N/A,2,18.2 cubic feet,N/A,N/A,Analog,White,N/A,N/A,N/A,N/A,N/A,N/A,N/A,65.875 inches,Glass,Top Freezer,N/A,N/A,N/A,60 inches,No,N/A,N/A,N/A,32.125 inches,Yes,N/A,N/A,No,White,N/A,N/A,N/A,Yes,Wire,Not Applicable,N/A,N/A,13.05 cubic feet,No,66.625 inches,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Top,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Applicable,N/A,N/A,N/A,N/A,N/A
N/A,No,N/A,N/A,5.5 cubic feet,Yes,N/A,N/A,N/A,Yes,Pull Out Drawer,N/A,No,N/A,N/A,5,N/A,N/A,Yes,Water,N/A,Yes,Smooth,N/A,N/A,N/A,No,N/A,Yes,N/A,No,N/A,LED,640 kilowatt hours,Yes,N/A,N/A,N/A,N/A,Yes,yes,N/A,N/A,28.5 inches,N/A,N/A,N/A,15 amperes,N/A,Yes,120 volts,4,N/A,Yes,34.5 inches,77 United States dollars,N/A,N/A,N/A,N/A,3,21.8 cubic feet,Yes,5,Electronic,Silver,Yes,N/A,No,N/A,N/A,N/A,N/A,68.88 inches,Spill-proof glass,French Door,N/A,Yes,N/A,47 inches,No,N/A,Silver,640 watts,32 inches,No,N/A,N/A,No,Silver,1,N/A,N/A,Yes,Spill-proof glass,Not Applicable,N/A,N/A,16.3 cubic feet,Yes,70.13 inches,N/A,No,No,N/A,Yes,N/A,N/A,Bottom,N/A,Yes,N/A,No,N/A,N/A,N/A,Cubed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10 pounds,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,4.02 cubic feet,Optional,N/A,N/A,N/A,Yes,Swing Door,N/A,No,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,yes,N/A,N/A,26.625 inches,N/A,N/A,N/A,15 amperes,N/A,Yes,120 volts,N/A,N/A,N/A,32.5 inches,N/A,N/A,N/A,N/A,N/A,2,17.5 cubic feet,N/A,N/A,Analog,Silver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,66.625 inches,Glass,Top Freezer,N/A,N/A,N/A,56.75 inches,No,N/A,N/A,N/A,30.5 inches,Yes,N/A,N/A,No,Stainless-Steel,N/A,N/A,N/A,Yes,Wire,Not Applicable,N/A,N/A,13.51 cubic feet,No,67.375 inches,N/A,No,N/A,N/A,N/A,N/A,N/A,Top,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Applicable,N/A,N/A,N/A,N/A,N/A
